,id_municipio,entidad,municipio,carpetas,total,crimes_10k,lat,lon,class
2399,32001,Zacatecas,Apozol,0,6086.0,0.0,21.470877,-103.09119,0
2400,32002,Zacatecas,Apulco,0,4738.0,0.0,21.388438,-102.681209,0
2401,32003,Zacatecas,Atolinga,0,2427.0,0.0,21.806949,-103.465583,0
2402,32004,Zacatecas,Benito Juarez,1,3990.0,2.5062656641604,21.504478,-103.55595,3
2403,32005,Zacatecas,Calera,18,45204.0,3.9819485001327326,22.949037,-102.702263,3
2404,32006,Zacatecas,Cañitas De Felipe Pescador,2,8393.0,2.382938162754675,23.606976,-102.72659,3
2405,32007,Zacatecas,Concepcion Del Oro,3,12944.0,2.3176761433868993,24.613169,-101.420484,3
2406,32008,Zacatecas,Cuauhtemoc,1,12590.0,0.7942811755361393,22.448681,-102.349989,1
2407,32009,Zacatecas,Chalchihuites,1,11416.0,0.875963559915907,23.47735,-103.884046,1
2408,32010,Zacatecas,Fresnillo,145,230865.0,6.280726831698182,23.174895,-102.868229,4
2409,32011,Zacatecas,Trinidad Garcia De La Cadena,0,2884.0,0.0,21.20979,-103.464871,0
2410,32012,Zacatecas,Genaro Codina,0,8185.0,0.0,22.487614,-102.456574,0
2411,32013,Zacatecas,General Enrique Estrada,2,6325.0,3.1620553359683785,22.995123,-102.740013,3
2412,32014,Zacatecas,General Francisco R. Murguia,3,21809.0,1.3755788894493097,23.994668,-103.019825,2
2413,32015,Zacatecas,El Plateado De Joaquin Amaro,0,1160.0,0.0,21.936653,-103.092394,0
2414,32016,Zacatecas,General Panfilo Natera,12,23192.0,5.174197999310109,22.664371,-102.109923,4
2415,32017,Zacatecas,Guadalupe,137,187918.0,7.290413903936831,22.746782,-102.518802,4
2416,32018,Zacatecas,Huanusco,0,4084.0,0.0,21.772169,-102.972024,0
2417,32019,Zacatecas,Jalpa,6,24093.0,2.4903498941601314,21.632239,-102.975834,3
2418,32020,Zacatecas,Jerez,30,59125.0,5.0739957716701864,22.649403,-102.989924,4
2419,32021,Zacatecas,Jimenez Del Teul,0,4275.0,0.0,23.25411,-103.798384,0
2420,32022,Zacatecas,Juan Aldama,2,21806.0,0.9171787581399615,24.290481,-103.39359,1
2421,32023,Zacatecas,Juchipila,2,12627.0,1.583907499802011,21.411504,-103.119243,2
2422,32024,Zacatecas,Loreto,13,53441.0,2.4325892105312388,22.272187,-101.986564,3
2423,32025,Zacatecas,Luis Moya,1,13292.0,0.752332229912729,22.432478,-102.249249,1
2424,32026,Zacatecas,Mazapil,1,17457.0,0.5728361115884746,24.638097,-101.554967,1
2425,32027,Zacatecas,Melchor Ocampo,1,2938.0,3.4036759700476544,24.831724,-101.642226,3
2426,32028,Zacatecas,Mezquital Del Oro,0,2484.0,0.0,21.216722,-103.362901,0
2427,32029,Zacatecas,Miguel Auza,6,23827.0,2.518151676669324,24.294446,-103.451449,3
2428,32030,Zacatecas,Momax,0,2404.0,0.0,21.922014,-103.313975,0
2429,32031,Zacatecas,Monte Escobedo,4,9129.0,4.381640924526237,22.302785,-103.561643,3
2430,32032,Zacatecas,Morelos,6,12354.0,4.856726566294318,22.862194,-102.609535,4
2431,32033,Zacatecas,Moyahua De Estrada,0,3947.0,0.0,21.265594,-103.165697,0
2432,32034,Zacatecas,Nochistlan De Mejia,4,27750.0,1.4414414414414412,21.363253,-102.847165,2
2433,32035,Zacatecas,Noria De Angeles,0,16864.0,0.0,22.442701,-101.908896,0
2434,32036,Zacatecas,Ojocaliente,29,43471.0,6.671114076050706,22.571967,-102.252934,4
2435,32037,Zacatecas,Panuco,2,17647.0,1.1333371111237036,22.875964,-102.540884,1
2436,32038,Zacatecas,Pinos,6,73151.0,0.8202211863132431,22.298842,-101.575167,1
2437,32039,Zacatecas,Rio Grande,15,63880.0,2.348152786474641,23.827434,-103.034332,3
2438,32040,Zacatecas,Sain Alto,2,22278.0,0.8977466558937061,23.57983,-103.247479,1
2439,32041,Zacatecas,El Salvador,0,2455.0,0.0,24.520577,-100.86783,0
2440,32042,Zacatecas,Sombrerete,15,62433.0,2.402575561001394,23.631378,-103.641342,3
2441,32043,Zacatecas,Susticacan,0,1329.0,0.0,22.611089,-103.099689,0
2442,32044,Zacatecas,Tabasco,4,15484.0,2.5833118057349513,21.865277,-102.913057,3
2443,32045,Zacatecas,Tepechitlan,0,8855.0,0.0,21.671126,-103.327625,0
2444,32046,Zacatecas,Tepetongo,6,7071.0,8.485362749257527,22.461265,-103.147898,4
2445,32047,Zacatecas,Teul De Gonzalez Ortega,2,5378.0,3.71885459278542,21.464091,-103.462039,3
2446,32048,Zacatecas,Tlaltenango De Sanchez Roman,9,26645.0,3.3777444173390876,21.783042,-103.305813,3
2447,32049,Zacatecas,Valparaiso,12,32606.0,3.680304238483715,22.7719,-103.567233,3
2448,32050,Zacatecas,Vetagrande,0,9796.0,0.0,22.832765,-102.555492,0
2449,32051,Zacatecas,Villa De Cos,5,35252.0,1.418359242028821,23.293893,-102.346888,2
2450,32052,Zacatecas,Villa Garcia,4,18745.0,2.1339023739663916,22.164898,-101.956319,2
2451,32053,Zacatecas,Villa Gonzalez Ortega,1,13099.0,0.7634170547370022,22.512992,-101.913761,1
2452,32054,Zacatecas,Villa Hidalgo,4,19155.0,2.088227616810231,22.357088,-101.712599,2
2453,32055,Zacatecas,Villanueva,6,30240.0,1.9841269841269862,22.354259,-102.883726,2
2454,32056,Zacatecas,Zacatecas,154,146147.0,10.537335696251034,22.776096,-102.571836,4
2455,32057,Zacatecas,Trancoso,11,19413.0,5.666306083552258,22.735389,-102.366038,4
2456,32058,Zacatecas,Santa Maria De La Paz,1,2656.0,3.765060240963859,21.512178,-103.407042,3
